0;Origin
1;Right sideways
2;Right sideways
3;Right sideways
4;Right sideways
5;Right sideways
6;Right sideways
7;Right sideways
8;Right sideways
9;Right sideways
10;Right sideways
11;Right sideways
12;Right sideways
13;Right sideways
14;Right sideways
15;Right sideways
16;Right sideways
17;Right sideways
18;Right sideways
19;Right sideways
20;Right sideways
21;Rotate left corner 1
22;Rotate left corner 1
23;Rotate left corner 1
24;Rotate left corner 1
25;Rotate left corner 1
26;Rotate left corner 2
27;Rotate left corner 2
28;Rotate left corner 2
29;Rotate left corner 2
30;Rotate left corner 2
31;Forward
32;Forward
33;Forward
34;Forward
35;Forward
36;Backward
37;Backward
38;Backward
39;Backward
40;Backward
41;Up
42;Up
43;Up
44;Up
45;Up
50;Land
