0;Origin
1;Right sideways
2;Right sideways
3;Right sideways
4;Right sideways
5;Right sideways
6;Left sideways
7;Left sideways
8;Left sideways
9;Left sideways
10;Left sideways
11;Rotate right corner 1
12;Rotate right corner 1
13;Rotate right corner 1
14;Rotate right corner 1
15;Rotate right corner 1
16;Rotate right corner 2
17;Rotate right corner 2
18;Rotate right corner 2
19;Rotate right corner 2
20;Rotate right corner 2
21;Rotate left corner 1
22;Rotate left corner 1
23;Rotate left corner 1
24;Rotate left corner 1
25;Rotate left corner 1
26;Rotate left corner 2
27;Rotate left corner 2
28;Rotate left corner 2
29;Rotate left corner 2
30;Rotate left corner 2
31;Forward
32;Forward
33;Forward
34;Forward
35;Forward
36;Backward
37;Backward
38;Backward
39;Backward
40;Backward
41;Up
42;Up
43;Up
44;Up
45;Up
50;Land
